subset_name,perturbation_type,perturbation_level,perturbation_level_label,repeat_id
primary,elevation,2.0,low,1
primary,elevation,2.0,low,2
primary,elevation,2.0,low,3
primary,elevation,2.0,low,4
primary,elevation,2.0,low,5
primary,elevation,2.0,low,6
primary,elevation,2.0,low,7
primary,elevation,2.0,low,8
primary,elevation,2.0,low,9
primary,elevation,2.0,low,10
primary,elevation,5.0,medium,1
primary,elevation,5.0,medium,2
primary,elevation,5.0,medium,3
primary,elevation,5.0,medium,4
primary,elevation,5.0,medium,5
primary,elevation,5.0,medium,6
primary,elevation,5.0,medium,7
primary,elevation,5.0,medium,8
primary,elevation,5.0,medium,9
primary,elevation,5.0,medium,10
primary,elevation,10.0,high,1
primary,elevation,10.0,high,2
primary,elevation,10.0,high,3
primary,elevation,10.0,high,4
primary,elevation,10.0,high,5
primary,elevation,10.0,high,6
primary,elevation,10.0,high,7
primary,elevation,10.0,high,8
primary,elevation,10.0,high,9
primary,elevation,10.0,high,10
primary,position,2.0,low,1
primary,position,2.0,low,2
primary,position,2.0,low,3
primary,position,2.0,low,4
primary,position,2.0,low,5
primary,position,2.0,low,6
primary,position,2.0,low,7
primary,position,2.0,low,8
primary,position,2.0,low,9
primary,position,2.0,low,10
primary,position,5.0,medium,1
primary,position,5.0,medium,2
primary,position,5.0,medium,3
primary,position,5.0,medium,4
primary,position,5.0,medium,5
primary,position,5.0,medium,6
primary,position,5.0,medium,7
primary,position,5.0,medium,8
primary,position,5.0,medium,9
primary,position,5.0,medium,10
primary,position,10.0,high,1
primary,position,10.0,high,2
primary,position,10.0,high,3
primary,position,10.0,high,4
primary,position,10.0,high,5
primary,position,10.0,high,6
primary,position,10.0,high,7
primary,position,10.0,high,8
primary,position,10.0,high,9
primary,position,10.0,high,10
primary,sampling,2.0,low,1
primary,sampling,2.0,low,2
primary,sampling,2.0,low,3
primary,sampling,2.0,low,4
primary,sampling,2.0,low,5
primary,sampling,2.0,low,6
primary,sampling,2.0,low,7
primary,sampling,2.0,low,8
primary,sampling,2.0,low,9
primary,sampling,2.0,low,10
primary,sampling,3.0,medium,1
primary,sampling,3.0,medium,2
primary,sampling,3.0,medium,3
primary,sampling,3.0,medium,4
primary,sampling,3.0,medium,5
primary,sampling,3.0,medium,6
primary,sampling,3.0,medium,7
primary,sampling,3.0,medium,8
primary,sampling,3.0,medium,9
primary,sampling,3.0,medium,10
primary,sampling,5.0,high,1
primary,sampling,5.0,high,2
primary,sampling,5.0,high,3
primary,sampling,5.0,high,4
primary,sampling,5.0,high,5
primary,sampling,5.0,high,6
primary,sampling,5.0,high,7
primary,sampling,5.0,high,8
primary,sampling,5.0,high,9
primary,sampling,5.0,high,10
primary,temporal,0.75,low,1
primary,temporal,0.75,low,2
primary,temporal,0.75,low,3
primary,temporal,0.75,low,4
primary,temporal,0.75,low,5
primary,temporal,0.75,low,6
primary,temporal,0.75,low,7
primary,temporal,0.75,low,8
primary,temporal,0.75,low,9
primary,temporal,0.75,low,10
primary,temporal,1.5,medium,1
primary,temporal,1.5,medium,2
primary,temporal,1.5,medium,3
primary,temporal,1.5,medium,4
primary,temporal,1.5,medium,5
primary,temporal,1.5,medium,6
primary,temporal,1.5,medium,7
primary,temporal,1.5,medium,8
primary,temporal,1.5,medium,9
primary,temporal,1.5,medium,10
primary,temporal,3.0,high,1
primary,temporal,3.0,high,2
primary,temporal,3.0,high,3
primary,temporal,3.0,high,4
primary,temporal,3.0,high,5
primary,temporal,3.0,high,6
primary,temporal,3.0,high,7
primary,temporal,3.0,high,8
