subset_name,session_label,run_id,run_uid,start_time_utc,end_time_utc,segmentation_valid,point_count,duration_s,vertical_drop_m,speed_mean_ms,speed_p95_ms,vvert_mean_ms,path_len_m,n_hr_samples,hr_mean_bpm,impulse_hr_above_rest_bpms,edwards_trimp,z_mech,z_internal,combined_load_v2,pipeline_status,failure_reason,perturbation_type,perturbation_level,repeat_id,seed
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,328.541164686166,7.818986297563068,23.327145928436725,-1.335130685312084,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.26278538311278987,-0.2922217443306067,-0.27750356372169827,success,,elevation,2.0,1,4342
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,325.2858946714125,7.818986297563068,23.327145928436725,-1.6022895865775153,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.28626608974664786,-0.2922217443306067,-0.2892439170386273,success,,elevation,2.0,2,4443
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,328.0642219160907,7.818986297563068,23.327145928436725,-1.4810604266271543,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.2662256363681334,-0.2922217443306067,-0.27922369034937006,success,,elevation,2.0,3,4544
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,326.93148819881094,7.818986297563068,23.327145928436725,-1.4049853679391753,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.2743961991752679,-0.2922217443306067,-0.28330897175293734,success,,elevation,2.0,4,4645
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,328.1296771369482,7.818986297563068,23.327145928436725,-1.3890861313926126,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.2657534989320239,-0.2922217443306067,-0.2789876216313153,success,,elevation,2.0,5,4746
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,330.78339368093043,7.818986297563068,23.327145928436725,-1.3668207766296046,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.24661187953447566,-0.2922217443306067,-0.2694168119325412,success,,elevation,2.0,6,4847
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,324.33766310330634,7.818986297563068,23.327145928436725,-1.3775175314062131,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.29310581338577896,-0.2922217443306067,-0.29266377885819284,success,,elevation,2.0,7,4948
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,328.4205519275524,7.818986297563068,23.327145928436725,-1.4593430362299311,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.2636553793921983,-0.2922217443306067,-0.27793856186140253,success,,elevation,2.0,8,5049
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,329.032535292356,7.818986297563068,23.327145928436725,-1.4215478526963194,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.2592410599076003,-0.2922217443306067,-0.2757314021191035,success,,elevation,2.0,9,5150
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,329.19484023218547,7.818986297563068,23.327145928436725,-1.4211743905550422,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.25807033223828574,-0.2922217443306067,-0.2751460382844462,success,,elevation,2.0,10,5251
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,326.9093544866587,7.818986297563068,23.327145928436725,-1.0572422103507297,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.274555852660051,-0.2922217443306067,-0.28338879849532883,success,,elevation,5.0,1,4352
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,328.0052308831239,7.818986297563068,23.327145928436725,-1.4713680729088188,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.26665114673527457,-0.2922217443306067,-0.27943644553294067,success,,elevation,5.0,2,4453
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,328.34348587036584,7.818986297563068,23.327145928436725,-1.301573994822409,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.26421126737446243,-0.2922217443306067,-0.27821650585253455,success,,elevation,5.0,3,4554
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,323.48793579081257,7.818986297563068,23.327145928436725,-1.5694693740920571,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.2992350123932394,-0.2922217443306067,-0.29572837836192306,success,,elevation,5.0,4,4655
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,326.5748398116384,7.818986297563068,23.327145928436725,-1.388803479311514,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.2769687526386312,-0.2922217443306067,-0.2845952484846189,success,,elevation,5.0,5,4756
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,328.19994794476065,7.818986297563068,23.327145928436725,-1.8509770939866714,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.2652466260103645,-0.2922217443306067,-0.2787341851704856,success,,elevation,5.0,6,4857
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,326.2745286064014,7.818986297563068,23.327145928436725,-1.3570207066448563,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.2791349383243259,-0.2922217443306067,-0.2856783413274663,success,,elevation,5.0,7,4958
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,323.0395937357805,7.818986297563068,23.327145928436725,-1.2804115043274567,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.30246896478985075,-0.2922217443306067,-0.2973453545602287,success,,elevation,5.0,8,5059
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,323.97555286165743,7.818986297563068,23.327145928436725,-1.9081409036125607,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.29571776395047494,-0.2922217443306067,-0.29396975414054083,success,,elevation,5.0,9,5160
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,326.06920658207787,7.818986297563068,23.327145928436725,-1.3544016042426736,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.28061595409160817,-0.2922217443306067,-0.28641884921110744,success,,elevation,5.0,10,5261
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,344.4324752535749,7.818986297563068,23.327145928436725,-1.9162306061413548,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.14815919242208783,-0.2922217443306067,-0.22019046837634726,success,,elevation,10.0,1,4362
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,327.47661294279123,7.818986297563068,23.327145928436725,-1.5716379275245271,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.2704641400421555,-0.2922217443306067,-0.2813429421863811,success,,elevation,10.0,2,4463
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,320.68219630168915,7.818986297563068,23.327145928436725,-2.2407658097438072,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.3194731940299559,-0.2922217443306067,-0.3058474691802813,success,,elevation,10.0,3,4564
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,348.8446561464068,7.818986297563068,23.327145928436725,-1.249715030308496,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.11633352982250011,-0.2922217443306067,-0.20427763707655341,success,,elevation,10.0,4,4665
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,324.88807280064907,7.818986297563068,23.327145928436725,-1.3582029788320547,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.28913563316319796,-0.2922217443306067,-0.29067868874690234,success,,elevation,10.0,5,4766
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,312.7067170094615,7.818986297563068,23.327145928436725,-1.2422548250918963,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.3770014140167666,-0.2922217443306067,-0.33461157917368667,success,,elevation,10.0,6,4867
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,324.35158922546475,7.818986297563068,23.327145928436725,-0.05661648841461431,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.2930053623671332,-0.2922217443306067,-0.29261355334886996,success,,elevation,10.0,7,4968
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,330.65129935829236,7.818986297563068,23.327145928436725,-1.801369077688599,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.2475646939012733,-0.2922217443306067,-0.26989321911594,success,,elevation,10.0,8,5069
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,327.95567415605956,7.818986297563068,23.327145928436725,-0.260140725494408,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.26700860616710603,-0.2922217443306067,-0.2796151752488564,success,,elevation,10.0,9,5170
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,331.94875204532264,7.818986297563068,23.327145928436725,-1.3152933934472915,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.238205990697731,-0.2922217443306067,-0.26521386751416887,success,,elevation,10.0,10,5271
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,329.0059814453125,9.613704706789594,24.63652371820409,-1.3030631625313185,2373.852997962579,249,118.21285140562249,15740.0,5.749999999999999,-0.2594325964282584,-0.2922217443306067,-0.27582717037943255,success,,position,2.0,1,4372
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,327.3428955078125,10.15618143478462,24.691410760959567,-1.2970270988437613,2477.5382979509477,249,118.21285140562249,15740.0,5.749999999999999,-0.2714286621396582,-0.2922217443306067,-0.2818252032351325,success,,position,2.0,2,4473
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,327.3428955078125,9.9761997094406,25.506167236135045,-1.2965636993849152,2427.9226578361868,249,118.21285140562249,15740.0,5.749999999999999,-0.2714286621396582,-0.2922217443306067,-0.2818252032351325,success,,position,2.0,3,4574
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,327.3428955078125,9.904304225959994,24.52225559776819,-1.2959647076696605,2451.8020908220396,249,118.21285140562249,15740.0,5.749999999999999,-0.2714286621396582,-0.2922217443306067,-0.2818252032351325,success,,position,2.0,4,4675
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,329.0059814453125,9.975356049032111,26.137104782324002,-1.3029024604134107,2448.1824175676566,249,118.21285140562249,15740.0,5.749999999999999,-0.2594325964282584,-0.2922217443306067,-0.27582717037943255,success,,position,2.0,5,4776
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,327.3428955078125,9.993042777254555,25.448673863797183,-1.296537026884716,2435.7062589427605,249,118.21285140562249,15740.0,5.749999999999999,-0.2714286621396582,-0.2922217443306067,-0.2818252032351325,success,,position,2.0,6,4877
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,327.3428955078125,10.415234226596455,25.845724095703694,-1.523616757190302,2550.2346451024396,249,118.21285140562249,15740.0,5.749999999999999,-0.2714286621396582,-0.2922217443306067,-0.2818252032351325,success,,position,2.0,7,4978
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,327.3428955078125,10.028531954743846,24.287047809380798,-1.2966794365478653,2447.827402189494,249,118.21285140562249,15740.0,5.749999999999999,-0.2714286621396582,-0.2922217443306067,-0.2818252032351325,success,,position,2.0,8,5079
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,327.3428955078125,10.112370721690219,24.49762659023121,-1.5232305823021621,2470.3640920673984,249,118.21285140562249,15740.0,5.749999999999999,-0.2714286621396582,-0.2922217443306067,-0.2818252032351325,success,,position,2.0,9,5180
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,327.3428955078125,10.139151421874448,25.117048854666663,-1.5233006172709507,2470.6242223405734,249,118.21285140562249,15740.0,5.749999999999999,-0.2714286621396582,-0.2922217443306067,-0.2818252032351325,success,,position,2.0,10,5281
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,329.0059814453125,13.219401936515322,30.714056607014015,-1.3037722577977995,3255.408882250553,249,118.21285140562249,15740.0,5.749999999999999,-0.2594325964282584,-0.2922217443306067,-0.27582717037943255,success,,position,5.0,1,4382
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,329.0059814453125,13.698673462994595,29.494343293998767,-1.3031930487704122,3384.076536242316,249,118.21285140562249,15740.0,5.749999999999999,-0.2594325964282584,-0.2922217443306067,-0.27582717037943255,success,,position,5.0,2,4483
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,334.736083984375,13.246634573402218,25.88281078550367,-1.5541325334109966,3261.8735752967928,249,118.21285140562249,15740.0,5.749999999999999,-0.218100585230459,-0.2922217443306067,-0.25516116478053286,success,,position,5.0,3,4584
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,328.008544921875,13.196566771068575,27.98021557466639,-1.7532122390663747,3256.7495421570466,249,118.21285140562249,15740.0,5.749999999999999,-0.26662724212172934,-0.2922217443306067,-0.279424493226168,success,,position,5.0,4,4685
