subset_name,perturbation_type,perturbation_level,perturbation_level_label,top_k_used,metric_name,n,median,mean,sd,q1,q3,iqr
primary,elevation,2.0,low,3,boundary_shift_mean_s,270,0.0,0.0,0.0,0.0,0.0,0.0
primary,elevation,2.0,low,3,cl_alpha_abs_deviation,270,0.011351590229853992,0.018505886355056116,0.018798637434026707,0.004909390293358296,0.02504829385708525,0.020138903563726954
primary,elevation,2.0,low,3,matched_duration_fraction,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,elevation,2.0,low,3,mean_absolute_rank_shift,270,0.0,0.010699588477366255,0.02608834342668421,0.0,0.0,0.0
primary,elevation,2.0,low,3,phase_contrast_abs_deviation,270,0.00044311872305152766,0.0012687918078592795,0.001958065541945594,0.0,0.0014365754896219773,0.0014365754896219773
primary,elevation,2.0,low,3,rank_spearman,270,0.9999999999999999,0.9999118165784833,0.00021501381945068584,0.9999999999999999,0.9999999999999999,0.0
primary,elevation,2.0,low,3,run_rank_shift_abs,270,0.0,0.14444444444444443,0.35219263626023695,0.0,0.0,0.0
primary,elevation,2.0,low,3,segmentation_stability,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,elevation,2.0,low,3,top_k_consistency,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,elevation,2.0,low,3,vertical_drop_abs_error_m,270,3.1474769368080615,5.131162182417819,5.212333828912098,1.3612359510208876,6.945187909815957,5.583951958795069
primary,elevation,5.0,medium,3,boundary_shift_mean_s,270,0.0,0.0,0.0,0.0,0.0,0.0
primary,elevation,5.0,medium,3,cl_alpha_abs_deviation,270,0.016848027793464282,0.021145226029141984,0.017358041838252524,0.008519387785083432,0.028518016380742237,0.019998628595658804
primary,elevation,5.0,medium,3,matched_duration_fraction,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,elevation,5.0,medium,3,mean_absolute_rank_shift,270,0.0,0.011796982167352537,0.027896383385902654,0.0,0.0,0.0
primary,elevation,5.0,medium,3,phase_contrast_abs_deviation,270,0.0008462851538735272,0.0014515533192611613,0.0018156705943794564,0.0,0.0021825562683772393,0.0021825562683772393
primary,elevation,5.0,medium,3,rank_spearman,270,0.9999999999999999,0.9999005110116221,0.0002436027137151071,0.9999999999999999,0.9999999999999999,0.0
primary,elevation,5.0,medium,3,run_rank_shift_abs,270,0.0,0.15925925925925927,0.37660117570968593,0.0,0.0,0.0
primary,elevation,5.0,medium,3,segmentation_stability,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,elevation,5.0,medium,3,top_k_consistency,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,elevation,5.0,medium,3,vertical_drop_abs_error_m,270,4.671484597036283,5.862976895984582,4.812897157824228,2.3621867972959194,7.907244449842665,5.545057652546745
primary,elevation,10.0,high,3,boundary_shift_mean_s,270,0.0,0.0,0.0,0.0,0.0,0.0
primary,elevation,10.0,high,3,cl_alpha_abs_deviation,270,0.023369696734880097,0.029593657639994168,0.02312861625496362,0.01357833981555065,0.04203253632343068,0.02845419650788003
primary,elevation,10.0,high,3,matched_duration_fraction,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,elevation,10.0,high,3,mean_absolute_rank_shift,270,0.0,0.01728395061728395,0.03328051255767249,0.0,0.0,0.0
primary,elevation,10.0,high,3,phase_contrast_abs_deviation,270,0.001573714029521056,0.002194587029276565,0.0026613558377124816,0.0,0.0032568212846324496,0.0032568212846324496
primary,elevation,10.0,high,3,rank_spearman,270,0.9999999999999999,0.999850766517433,0.00030664664823644314,0.9999999999999999,0.9999999999999999,0.0
primary,elevation,10.0,high,3,run_rank_shift_abs,270,0.0,0.23333333333333334,0.44928691952857885,0.0,0.0,0.0
primary,elevation,10.0,high,3,segmentation_stability,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,elevation,10.0,high,3,top_k_consistency,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,elevation,10.0,high,3,vertical_drop_abs_error_m,270,6.479760104429033,8.205489540373753,6.4129152628617,3.764892014617601,11.654441007358969,7.889548992741368
primary,position,2.0,low,3,boundary_shift_mean_s,270,0.0,0.0,0.0,0.0,0.0,0.0
primary,position,2.0,low,3,cl_alpha_abs_deviation,270,0.009112396069236417,0.018588745978534302,0.018927008829025878,0.005968976031824669,0.022623819171220416,0.016654843139395747
primary,position,2.0,low,3,matched_duration_fraction,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,position,2.0,low,3,mean_absolute_rank_shift,270,0.0,0.00823045267489712,0.023322465410116663,0.0,0.0,0.0
primary,position,2.0,low,3,phase_contrast_abs_deviation,270,0.0006632195590916545,0.0012772260477274676,0.001936140085959253,0.0,0.0011785134693639288,0.0011785134693639288
primary,position,2.0,low,3,rank_spearman,270,0.9999999999999999,0.9999321665988332,0.00019221812151195942,0.9999999999999999,0.9999999999999999,0.0
primary,position,2.0,low,3,run_rank_shift_abs,270,0.0,0.1111111111111111,0.31485328303657517,0.0,0.0,0.0
primary,position,2.0,low,3,segmentation_stability,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,position,2.0,low,3,top_k_consistency,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,position,2.0,low,3,vertical_drop_abs_error_m,270,2.526611328125,5.154136827256944,5.247927608895729,1.655029296875,6.27294921875,4.617919921875
primary,position,5.0,medium,3,boundary_shift_mean_s,270,0.0,0.0,0.0,0.0,0.0,0.0
primary,position,5.0,medium,3,cl_alpha_abs_deviation,270,0.008355597883758836,0.017543882484980376,0.01873492667308172,0.005627778478744183,0.022623819171220416,0.016996040692476233
primary,position,5.0,medium,3,matched_duration_fraction,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,position,5.0,medium,3,mean_absolute_rank_shift,270,0.0,0.007407407407407408,0.02226348915140092,0.0,0.0,0.0
primary,position,5.0,medium,3,phase_contrast_abs_deviation,270,0.00047109720931048926,0.0011850526135472649,0.0018761831087599316,0.0,0.0009283997648621423,0.0009283997648621423
primary,position,5.0,medium,3,rank_spearman,270,0.9999999999999999,0.9999389499389499,0.00018349029520380828,0.9999999999999999,0.9999999999999999,0.0
primary,position,5.0,medium,3,run_rank_shift_abs,270,0.0,0.1,0.30055710354391274,0.0,0.0,0.0
primary,position,5.0,medium,3,segmentation_stability,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,position,5.0,medium,3,top_k_consistency,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,position,5.0,medium,3,vertical_drop_abs_error_m,270,2.3167724609375,4.864425546151621,5.194668625478884,1.5604248046875,6.27294921875,4.7125244140625
primary,position,10.0,high,3,boundary_shift_mean_s,270,0.0,0.0,0.0,0.0,0.0,0.0
primary,position,10.0,high,3,cl_alpha_abs_deviation,270,0.007283136929818301,0.014557437780591575,0.016539633656547252,0.003958331870639875,0.01923737842503398,0.015279046554394105
primary,position,10.0,high,3,matched_duration_fraction,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,position,10.0,high,3,mean_absolute_rank_shift,270,0.0,0.006858710562414265,0.02151103247605132,0.0,0.0,0.0
primary,position,10.0,high,3,phase_contrast_abs_deviation,270,0.0004398146522933688,0.000874022486227336,0.0014369678189808557,0.0,0.0008728420414338967,0.0008728420414338967
primary,position,10.0,high,3,rank_spearman,270,0.9999999999999999,0.9999434721656943,0.00017728872919810706,0.9999999999999999,0.9999999999999999,0.0
primary,position,10.0,high,3,run_rank_shift_abs,270,0.0,0.09259259259259259,0.2903989384266929,0.0,0.0,0.0
primary,position,10.0,high,3,segmentation_stability,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,position,10.0,high,3,top_k_consistency,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,position,10.0,high,3,vertical_drop_abs_error_m,270,2.0194091796875,4.036368362991898,4.585975570218123,1.0975341796875,5.333984375,4.2364501953125
primary,sampling,2.0,low,3,boundary_shift_mean_s,270,0.0,0.24372222222222226,0.253396347246793,0.0,0.5055000000000001,0.5055000000000001
primary,sampling,2.0,low,3,cl_alpha_abs_deviation,270,0.020030277512902095,0.031052237842094526,0.026689368064388676,0.008355597883758836,0.044761596924891345,0.03640599904113251
primary,sampling,2.0,low,3,matched_duration_fraction,270,1.0,0.9983985015588157,0.002151169641839728,0.99779676465381,1.0,0.0022032353461900467
primary,sampling,2.0,low,3,mean_absolute_rank_shift,270,0.0,0.01371742112482853,0.028827338781641346,0.0,0.0,0.0
primary,sampling,2.0,low,3,phase_contrast_abs_deviation,270,0.0009168063856391795,0.002312206408591418,0.003178172531674601,0.0,0.003663605668875136,0.003663605668875136
primary,sampling,2.0,low,3,rank_spearman,270,0.9999999999999999,0.9998869443313887,0.00023758795699155966,0.9999999999999999,0.9999999999999999,0.0
primary,sampling,2.0,low,3,run_rank_shift_abs,270,0.0,0.18518518518518517,0.38916907355215835,0.0,0.0,0.0
primary,sampling,2.0,low,3,segmentation_stability,270,1.0,0.9983985015588157,0.002151169641839728,0.99779676465381,1.0,0.0022032353461900467
primary,sampling,2.0,low,3,top_k_consistency,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,sampling,2.0,low,3,vertical_drop_abs_error_m,270,5.5538330078125,8.2423095703125,7.2433405650484035,2.287841796875,12.4111328125,10.123291015625
primary,sampling,3.0,medium,3,boundary_shift_mean_s,270,0.5085,0.589462962962963,0.39468866667865077,0.503,1.0095,0.5065000000000001
primary,sampling,3.0,medium,3,cl_alpha_abs_deviation,270,0.043177119513876816,0.04730007673514186,0.03346678847436179,0.01742969177606879,0.08132699555078549,0.0638973037747167
primary,sampling,3.0,medium,3,matched_duration_fraction,270,0.9969597768907137,0.9958662260839141,0.004263300309737386,0.9944218506525799,0.998779993338836,0.004358142686256117
primary,sampling,3.0,medium,3,mean_absolute_rank_shift,270,0.0,0.024691358024691357,0.04039569504808978,0.0,0.07407407407407407,0.07407407407407407
primary,sampling,3.0,medium,3,phase_contrast_abs_deviation,270,0.001106262747371023,0.0032905983810992863,0.003975849199086075,0.0,0.005140874857136102,0.005140874857136102
primary,sampling,3.0,medium,3,rank_spearman,270,0.9999999999999999,0.9997738886627775,0.00041275954243760943,0.9993894993894993,0.9999999999999999,0.0006105006105006083
primary,sampling,3.0,medium,3,run_rank_shift_abs,270,0.0,0.3333333333333333,0.5453418831492118,0.0,1.0,1.0
primary,sampling,3.0,medium,3,segmentation_stability,270,0.9969597768907137,0.9958662260839141,0.004263300309737386,0.9944218506525799,0.998779993338836,0.004358142686256117
primary,sampling,3.0,medium,3,top_k_consistency,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,sampling,3.0,medium,3,vertical_drop_abs_error_m,270,11.9718017578125,11.97446922019676,8.79366140980514,4.25,20.622802734375,16.372802734375
primary,sampling,5.0,high,3,boundary_shift_mean_s,270,1.0070000000000001,0.8806481481481482,0.7506032742856277,0.0,1.52,1.52
primary,sampling,5.0,high,3,cl_alpha_abs_deviation,270,0.06043548954883027,0.06996418066846102,0.0437838285008103,0.03335819439499943,0.11067759186323078,0.07731939746823135
primary,sampling,5.0,high,3,matched_duration_fraction,270,0.9954405092865098,0.9938633094241535,0.007546747999632086,0.9925374779541446,1.0,0.007462522045855402
primary,sampling,5.0,high,3,mean_absolute_rank_shift,270,0.0,0.030178326474622767,0.04631987507733121,0.0,0.07407407407407407,0.07407407407407407
primary,sampling,5.0,high,3,phase_contrast_abs_deviation,270,0.00212274011734348,0.004932135355715568,0.005364550784186453,0.0,0.011250127146966382,0.011250127146966382
primary,sampling,5.0,high,3,rank_spearman,270,0.9999999999999999,0.9997060552616107,0.0005095693982315112,0.9993894993894993,0.9999999999999999,0.0006105006105006083
