subset_name,perturbation_type,perturbation_level,perturbation_level_label,repeat_id
primary,elevation,2.0,low,1
primary,elevation,2.0,low,2
primary,elevation,2.0,low,3
primary,elevation,2.0,low,4
primary,elevation,2.0,low,5
primary,elevation,5.0,medium,1
primary,elevation,5.0,medium,2
primary,elevation,5.0,medium,3
primary,elevation,5.0,medium,4
primary,elevation,5.0,medium,5
primary,position,2.0,low,1
primary,position,2.0,low,2
primary,position,2.0,low,3
primary,position,2.0,low,4
primary,position,2.0,low,5
primary,position,5.0,medium,1
primary,position,5.0,medium,2
primary,position,5.0,medium,3
primary,position,5.0,medium,4
primary,position,5.0,medium,5
primary,sampling,2.0,low,1
primary,sampling,2.0,low,2
primary,sampling,2.0,low,3
primary,sampling,2.0,low,4
primary,sampling,2.0,low,5
primary,sampling,3.0,medium,1
primary,sampling,3.0,medium,2
primary,sampling,3.0,medium,3
primary,sampling,3.0,medium,4
primary,sampling,3.0,medium,5
primary,temporal,0.75,low,1
primary,temporal,0.75,low,2
primary,temporal,0.75,low,3
primary,temporal,0.75,low,4
primary,temporal,0.75,low,5
primary,temporal,1.5,medium,1
primary,temporal,1.5,medium,2
primary,temporal,1.5,medium,3
primary,temporal,1.5,medium,4
primary,temporal,1.5,medium,5
